Username,Area,Experience,isAdmin,Growing
green_thumb,Prince George,intermediate,False,"['Eggplant, Fairy Tale', 'Basil, Dark Opal', 'Kale, Dwarf Blue Curled', 'Peppers, Bell']"
urban_farmer,Bathurst,beginner,False,"['Endive, Broad Leaf Batavian', 'Sage, Purple']"
harvest_queen,Tignish,expert,True,"['Chives, Common', 'Carrot, Danvers', 'Mint, Pineapple Mint', 'Watermelon, Charleston Gray', 'Kohlrabi, Superschmeltz']"
seed_sower,Qubec,intermediate,False,"['Basil, Lemon', 'Zucchini, Costata Romanesco']"
veggie_viking,Summerside,beginner,False,"['Spinach, Savoy', 'Arugula, Astro', 'Onion, Red Burgundy', 'Eggplant, Black Beauty', 'Thyme, Lemon']"
crop_master,Shelburne,intermediate,True,"['Dill, Bouquet', 'Spinach, Tyee']"
soil_scholar,Thompson,expert,True,"['Onion, Yellow Sweet Spanish', 'Bell Pepper, California Wonder']"
plant_whisperer,Weyburn,expert,False,"['Marjoram, Sweet', 'Thyme, Creeping', 'Broccoli, Waltham 29']"
field_guru,Winnipeg,expert,False,"['Oregano, Italian', 'Lettuce, Butterhead', 'Pea, English', 'Cucumber, Lemon', 'Thyme, French']"
garden_giant,Edmunston,intermediate,False,"['Broccoli, Romanesco']"
root_royalty,Baie-Comeau,intermediate,True,"['Chive, Garlic']"
sprout_sage,Grand Falls,intermediate,False,"['Tomato, Beefsteak', 'Radish, French Breakfast', 'Rosemary, Salem', 'Peppers, Poblano']"
leaf_lord,Summerside,intermediate,False,"['Pea, Sugar Snap']"
eco_planter,Hamilton,intermediate,False,"['Oregano, Cuban', 'Endive, Curled Ruffec']"
farm_fanatic,Athabasca,expert,True,"['Tomato, Cherry']"
flora_fan,Timmins,intermediate,False,"['Broccoli, Purple Sprouting', 'Cilantro, Santo']"
crop_champion,Timmins,expert,False,"['Chive, Siberian', 'Sage, Pineapple', 'Cucumber, Boston Pickling', 'Peppers, Thai Chili']"
earth_expert,Halifax,beginner,True,"['Spinach, Bloomsdale Long Standing', 'Cilantro, Slo-Bolt']"
grow_guru,Winnipeg,beginner,True,"['Sage, Common', 'Turnip, Tokyo Cross']"
field_fanatic,Timmins,expert,False,"['Lettuce, Romaine']"
organic_enthusiast,St. John's,beginner,False,"['Pea, Snow', 'Peas, Snow', 'Oregano, Greek', 'Bell Pepper, Cubanelle']"
soil_savant,Victoria,intermediate,True,"['Chard, Ruby Red', 'Zucchini, Black Beauty', 'Eggplant, Black Beauty', 'Spinach, Space']"
green_grower,Baie-Comeau,beginner,True,"['Cucumber, Marketmore']"
plant_pro,Sherbrooke,intermediate,False,"['Broccoli, Calabrese', 'Cauliflower, Cheddar', 'Strawberry, Alpine', 'Basil, Lemon']"
flora_freak,Calgary,intermediate,False,"['Broccoli, Di Cicco', 'Onion, Walla Walla', 'Strawberry, Everbearing']"
root_reaper,Winnipeg,intermediate,True,"['Peppers, Habanero']"
earth_elite,Yarmouth,beginner,True,"['Spinach, Bloomsdale', 'Tomato, Green Zebra', 'Cucumber, National Pickling', 'Cilantro, Leisure']"
garden_genius,Owen Sound,intermediate,True,"['Cucumber, Straight Eight', 'Peppers, Habanero', 'Mustard, Red Giant', 'Bell Pepper, Purple Beauty']"
harvest_hustler,Windsor,beginner,True,"['Zucchini, Grey', 'Marjoram, Pot', 'Cauliflower, Purple Head', 'Eggplant, Black Beauty']"
plant_professor,Corner Brook,intermediate,True,"['Parsley, Curly Leaf', 'Tomato, Brandywine']"
crop_connoisseur,Thunder Bay,expert,True,"['Parsley, Curled', 'Cucumber, Bush Champion', 'Carrot, Imperator']"
green_guru,Parry Sound,beginner,True,"['Rosemary, Hill Hardy', 'Lettuce, Iceberg', 'Peppers, Jalapeno', 'Arugula, Astro', 'Zucchini, Black Beauty']"
field_fan,Sudbury,beginner,True,"['Fennel, Sweet', 'Radish, White Icicle', 'Broccoli, Waltham 29', 'Okra, Clemson Spineless']"
garden_geek,Montral,beginner,True,"['Radish, French Breakfast', 'Strawberry, June-bearing', 'Celery, Golden Self-Blanching', 'Peas, Sugar Snap']"
seed_savant,Qubec,expert,True,"['Rosemary, Blue Boy']"
flora_freak,Halifax,expert,True,"['Tomato, Yellow Pear', 'Lettuce, Iceberg']"
harvest_hero,Thunder Bay,beginner,True,"['Carrot, Nantes', 'Tomato, Roma', 'Pea, Snow', 'Lettuce, Red Leaf']"
eco_expert,Hamilton,beginner,True,"['Peppers, Jalapeno', 'Basil, Cinnamon', 'Dill, Mammoth', 'Beet, Golden']"
soil_scholar,Grand Falls,intermediate,False,"['Beet, Chioggia', 'Turnip, Purple Top', 'Zucchini, Cocozelle']"
root_reaper,Baie-Comeau,intermediate,False,"['Kale, Lacinato', 'Watermelon, Sugar Baby']"
green_genius,Nanaimo,expert,True,"['Eggplant, Rosa Bianca', 'Beet, Golden']"
crop_cultivator,Kelowna,intermediate,True,"['Onion, White Lisbon', 'Onion, Red Burgundy', 'Kale, Red Russian']"
garden_guru,Sudbury,intermediate,True,"['Lettuce, Butterhead']"
plant_pioneer,Parry Sound,beginner,False,"['Cauliflower, Purple of Sicily', 'Mint, Spearmint', 'Squash, Yellow Crookneck']"
earth_enthusiast,Chicoutimi,intermediate,True,"['Chard, Rainbow', 'Squash, Patty Pan', 'Sage, Purple', 'Chive, Common', 'Cilantro, Santo']"
organic_obsessed,Calgary,expert,True,"['Basil, Lemon', 'Rosemary, Prostratus', 'Kale, Lacinato', 'Kale, Lacinato']"
flora_fanatic,Saskatoon,intermediate,False,"['Fennel, Bronze', 'Lavender, English']"
field_fanatic,Thetford Mines,expert,False,"['Peppers, Cayenne', 'Endive, Frisee', 'Zucchini, Zucchini Gold Rush', 'Basil, Thai', 'Fennel, Florence']"
garden_guru,St. Catharines,expert,False,"['Lavender, Spanish', 'Celery, Chinese Pink', 'Lettuce, Leaf', 'Chard, Fordhook Giant', 'Garlic, Elephant']"
grow_genius,Nanaimo,intermediate,True,"['Lettuce, Butterhead', 'Cucumber, Lemon', 'Pumpkin, Sugar Pie', 'Parsley, Hamburg Rooted', 'Mustard, Mizuna']"
eco_elite,Sudbury,intermediate,False,"['Zucchini, Eight Ball', 'Pea, Sugar Snap']"
plant_prodigy,Bathurst,intermediate,True,"['Watermelon, Crimson Sweet', 'Pumpkin, Jack-O-Lantern', 'Kale, Dwarf Blue Curled', ""Pumpkin, Jack O'Lantern""]"
soil_scientist,Dawson Creek,beginner,False,"['Beet, Chioggia', 'Dill, Bouquet', 'Cilantro, Calypso']"
crop_creator,Sudbury,beginner,True,"['Squash, Waltham Butternut', 'Spinach, Savoy', 'Chives, Siberian', 'Cabbage, Red Express', 'Thyme, Woolly']"
field_fanatic,Barrie,intermediate,False,"['Rosemary, Arp']"
garden_geek,Corner Brook,beginner,True,"['Oregano, Cuban', 'Kale, Red Russian']"
green_genius,Dawson Creek,beginner,True,"['Oregano, Italian', 'Tomato, Beefsteak']"
seed_sower,Regina,expert,True,"['Turnip, Golden Ball', 'Cilantro, Slow Bolting']"
harvest_hero,Vancouver,intermediate,False,"['Lavender, French', 'Broccoli, Waltham', 'Kale, Dwarf Siberian', 'Spinach, New Zealand']"
plant_prodigy,London,beginner,False,"['Sage, Golden']"
soil_savant,Kelowna,intermediate,False,"['Basil, Purple Ruffles', 'Bok Choy, Mei Qing Choi', 'Rosemary, Tuscan Blue']"
flora_fan,Red Deer,beginner,True,"['Basil, Sweet Thai', 'Watermelon, Moon and Stars']"
earth_expert,The Pas,expert,False,"['Lettuce, Romaine', 'Mint, Chocolate Mint', 'Parsley, Italian Flat Leaf', 'Dill, Long Island Mammoth']"
crop_champion,Trois-Rivires,beginner,False,"['Melon, Cantaloupe']"
organic_enthusiast,Chilliwack,beginner,True,"['Pumpkin, Jack Be Little', 'Watermelon, Sugar Baby', 'Cucumber, Marketmore 76']"
field_fanatic,Charlottetown,expert,False,"['Bok Choy, Tatsoi', 'Broccoli, Calabrese', 'Parsley, Italian Flat Leaf', 'Cauliflower, Snowball', 'Cilantro, Leisure']"
garden_guru,St. Catharines,expert,True,"['Pea, Sugar Snap', 'Cucumber, Marketmore', 'Squash, Yellow Crookneck']"
harvest_hustler,Ottawa,beginner,True,"['Radish, Daikon', 'Parsley, Italian Flat Leaf']"
