Username,Area,Experience,isAdmin,Growing
green_thumb,Prince George,intermediate,False,"['Rainbow', 'Arp', 'New Zealand', 'Red Giant']"
urban_farmer,Bathurst,beginner,False,"['Waltham 29', 'Mei Qing Choi']"
harvest_queen,Tignish,expert,True,"['Red Russian', 'Thai', 'Lemon', 'Lemon', 'Purple']"
seed_sower,Qubec,intermediate,False,"['Lemon', 'Red Russian']"
veggie_viking,Summerside,beginner,False,"['Broad Leaf Batavian', 'Italian Flat Leaf', 'Butterhead', 'Golden', 'Red Giant']"
crop_master,Shelburne,intermediate,True,"['Golden', 'Tall Utah']"
soil_scholar,Thompson,expert,True,"['Peppermint', 'Joi Choi']"
plant_whisperer,Weyburn,expert,False,"['Cherry', 'Fernleaf', 'Patty Pan']"
field_guru,Winnipeg,expert,False,"['Boston Pickling', 'Fairy Tale', 'Costata Romanesco', 'Early Purple Vienna', 'Bloomsdale']"
garden_giant,Edmunston,intermediate,False,['Red Burgundy']
root_royalty,Baie-Comeau,intermediate,True,['Hamburg Rooted']
sprout_sage,Grand Falls,intermediate,False,"['Red Burgundy', 'Spearmint', 'Bush Champion', 'June-bearing']"
leaf_lord,Summerside,intermediate,False,['Marketmore']
eco_planter,Hamilton,intermediate,False,"['Iceberg', 'Habanero']"
farm_fanatic,Athabasca,expert,True,['Italian Flat Leaf']
flora_fan,Timmins,intermediate,False,"['Curly', 'Italian Flat Leaf']"
crop_champion,Timmins,expert,False,"['Looseleaf', 'Indian Summer', 'Butterhead', 'Dwarf Siberian']"
earth_expert,Halifax,beginner,True,"['Purple Beauty', 'Tokyo Cross']"
grow_guru,Winnipeg,beginner,True,"['Golden', 'Looseleaf']"
field_fanatic,Timmins,expert,False,['Purple']
organic_enthusiast,St. John's,beginner,False,"['Roma', 'Red Giant', 'Red Express', 'Golden']"
soil_savant,Victoria,intermediate,True,"['Hamburg Rooted', 'White Lisbon', 'Red Giant', 'Hill Hardy']"
green_grower,Baie-Comeau,beginner,True,['Looseleaf']
plant_pro,Sherbrooke,intermediate,False,"['Yellow Globe', 'Jack Be Little', 'Dwarf Siberian', 'Dark Opal']"
flora_freak,Calgary,intermediate,False,"['Yellow Sweet Spanish', 'Oregon Sugar Pod', 'Golden']"
root_reaper,Winnipeg,intermediate,True,['Waltham 29']
earth_elite,Yarmouth,beginner,True,"['Ruby Red', 'Calabrese', 'Batavia', 'Red Giant']"
garden_genius,Owen Sound,intermediate,True,"['Chioggia', 'Danvers', 'Bloomsdale', 'Albion']"
harvest_hustler,Windsor,beginner,True,"['Golden California Wonder', 'Golden Acre', 'Dwarf Blue Curled', 'Bush Champion']"
plant_professor,Corner Brook,intermediate,True,"['Waltham Butternut', 'Habanero']"
crop_connoisseur,Thunder Bay,expert,True,"['Eight Ball', 'Calabrese', 'Hardneck']"
green_guru,Parry Sound,beginner,True,"['Chioggia', 'Golden', 'Slow Bolt', 'Common', 'Danvers']"
field_fan,Sudbury,beginner,True,"['Lacinato', 'Slow Bolt', 'French Breakfast', 'Cherry Belle']"
garden_geek,Montral,beginner,True,"['Tatsoi', 'Red Burgundy', 'Fordhook Giant', 'Daikon']"
seed_savant,Qubec,expert,True,['Butterhead']
flora_freak,Halifax,expert,True,"['Cheddar', 'Hamburg']"
harvest_hero,Thunder Bay,beginner,True,"['Bloomsdale', 'Florence', 'Green Wave', 'Waltham 29']"
eco_expert,Hamilton,beginner,True,"['Iceberg', 'June-bearing', 'Patty Pan', 'Hill Hardy']"
soil_scholar,Grand Falls,intermediate,False,"['Alpine', 'Cayenne', 'Slow Bolt']"
root_reaper,Baie-Comeau,intermediate,False,"['Snow', 'Dark Opal']"
green_genius,Nanaimo,expert,True,"['Cayenne', 'Creeping']"
crop_cultivator,Kelowna,intermediate,True,"['Rainbow', 'Black Beauty', 'Bouquet']"
garden_guru,Sudbury,intermediate,True,['Bloomsdale Long Standing']
plant_pioneer,Parry Sound,beginner,False,"['National Pickling', 'Frisee', 'Italian Flat Leaf']"
earth_enthusiast,Chicoutimi,intermediate,True,"['Thai', 'Spearmint', 'Nantes', 'Lemon', 'Waltham']"
organic_obsessed,Calgary,expert,True,"['Chinese Pink', 'Genovese', 'Cocozelle', 'Long Island Mammoth']"
flora_fanatic,Saskatoon,intermediate,False,"['Buttercrunch', 'Dwarf Blue Curled']"
field_fanatic,Thetford Mines,expert,False,"['Lemon', 'Purple', 'Waltham Butternut', 'Genovese', 'Astro']"
garden_guru,St. Catharines,expert,False,"['Dwarf Blue Curled', 'Romanesco', 'Habanero', 'Superschmeltz', 'Golden']"
grow_genius,Nanaimo,intermediate,True,"['Hill Country Red', 'Cubanelle', 'Romaine', 'Golden', 'Armenian']"
eco_elite,Sudbury,intermediate,False,"['Moon and Stars', 'Garlic']"
plant_prodigy,Bathurst,intermediate,True,"['Lacinato', 'Purple of Sicily', 'Golden', 'Nantes']"
soil_scientist,Dawson Creek,beginner,False,"['Dwarf Siberian', 'Cocozelle', 'Crimson Sweet']"
crop_creator,Sudbury,beginner,True,"['Tyee', 'Curly', 'Butterhead', 'Chioggia', 'Spanish']"
field_fanatic,Barrie,intermediate,False,['Sugar Pie']
garden_geek,Corner Brook,beginner,True,"['Peppermint', 'New Zealand']"
green_genius,Dawson Creek,beginner,True,"['Apple Mint', 'Watermelon']"
seed_sower,Regina,expert,True,"['Golden', 'Red Russian']"
harvest_hero,Vancouver,intermediate,False,"['Dark Opal', 'Sugar Snap', 'Lemon', 'Eight Ball']"
plant_prodigy,London,beginner,False,['Dwarf Blue Curled']
soil_savant,Kelowna,intermediate,False,"['Tuscan Blue', 'Purple', 'Charleston Gray']"
flora_fan,Red Deer,beginner,True,"['White Icicle', 'French Breakfast']"
earth_expert,The Pas,expert,False,"['Wild Rocket', 'Golden', 'Clemson Spineless', 'Early White']"
crop_champion,Trois-Rivires,beginner,False,['Ace']
organic_enthusiast,Chilliwack,beginner,True,"['Daikon', 'Astro', 'Calypso']"
field_fanatic,Charlottetown,expert,False,"['Cocozelle', 'Chioggia', 'Italian', 'Red Russian', 'Purple Dragon']"
garden_guru,St. Catharines,expert,True,"['Bouquet', 'Romanesco', 'Curled']"
harvest_hustler,Ottawa,beginner,True,"['Detroit Dark Red', 'Crimson Sweet', 'Common', 'Eight Ball', 'Tall Utah']"
plant_professor,Sherbrooke,intermediate,True,"['Garlic', 'Marketmore 76', 'White Vienna', 'Daikon']"
eco_expert,Timmins,expert,False,"['Siberian', 'Italian Flat Leaf']"
garden_grower,Vancouver,intermediate,True,"['Purple Dragon', 'Red Burgundy', 'Oregon Sugar Pod', 'Sugar Snap', 'De Cicco']"
seed_seeker,Bathurst,expert,True,"['Cinnamon', 'Red Burgundy']"
crop_caretaker,Rimouski,expert,True,"['Garden', 'Spearmint']"
flora_fanatic,Grand Falls,intermediate,False,"['Lemon', 'Wasabi']"
green_guardian,Hamilton,beginner,False,"['Green Sprouting', 'Spicy Globe', 'Roma', 'Red Russian']"
